id,site,date,hoff,hdef,htemp,aoff,adef,atemp,line,ou,hp,ap,prob,hs,as
401581535,True,20231119,104.55,99.5,71.65,102.4,100.6,74.6,-3.5,154.5,77.7,75.5,0.5731,83,60
401577574,False,20231119,101.05,99.85,70.94999999999999,106.1,102.05000000000001,70.05,-1.5,143.5,75.0,72.6,0.569,74,65
401582123,True,20231119,103.75,102.9,69.85,98.8,98.45,70.69999999999999,2.5,140.5,71.3,70.8,0.5242,59,45
401601479,True,20231119,103.9,99.1,68.1,103.0,100.35,65.94999999999999,-1.5,125.5,66.8,65.4,0.556,49,54
401594034,True,20231119,102.4,109.4,64.25,102.30000000000001,100.5,71.3,4.5,137.5,66.5,72.1,0.2964,76,70
401582114,True,20231119,110.2,97.4,67.30000000000001,108.05000000000001,102.30000000000001,64.6,-5.5,133.5,69.2,64.6,0.6657,71,61
401581551,True,20231119,109.95,94.25,70.9,109.55,99.69999999999999,72.30000000000001,-4.5,150.5,77.3,73.6,0.6262,82,91
401600257,False,20231119,116.05,92.45,74.8,102.85,102.85,69.75,-27.5,154.5,88.6,68.2,0.9564,101,56
401592370,False,20231119,111.3,92.0,67.35,100.5,108.94999999999999,70.30000000000001,-23.5,141.5,83.3,61.1,0.9626,81,49
401583817,False,20231119,110.35,98.1,68.9,96.85,105.69999999999999,72.35,-21.5,145.5,84.2,66.1,0.9338,72,73
401601489,True,20231119,108.85,98.44999999999999,69.75,107.05,98.2,68.85,-5.5,142.0,71.8,70.8,0.542,68,75
401601493,True,20231119,108.0,93.4,64.85,107.65,95.05000000000001,73.0,-4.5,135.5,69.4,68.0,0.5288,49,66
401581536,True,20231119,100.65,104.65,72.35,105.75,99.7,68.05000000000001,8.5,145.5,69.2,75.8,0.2809,77,71
401577659,False,20231119,111.95,92.9,70.8,98.35,101.1,71.75,-17.5,143.5,84.1,65.0,0.9442,81,70
401584513,False,20231119,108.45,92.8,71.30000000000001,95.94999999999999,106.80000000000001,72.44999999999999,-24.5,147.5,86.4,64.6,0.9602,88,60
401594626,False,20231119,101.55000000000001,102.75,66.25,91.4,108.55000000000001,67.6,-11.5,131.5,73.9,60.5,0.8782,67,58
401590208,True,20231119,104.95,104.44999999999999,70.0,103.94999999999999,94.25,70.75,7.5,145.5,69.1,75.0,0.3039,80,83
401582124,True,20231119,103.9,99.25,67.7,108.15,99.75,70.1,4.5,140.5,69.1,71.6,0.3988,56,52
401582115,True,20231119,104.05000000000001,101.15,72.94999999999999,102.35,97.05,71.85,4.5,150.5,74.0,75.6,0.4532,88,69
401581549,True,20231119,114.4,88.1,67.45,109.45,97.94999999999999,66.15,-12.5,130.5,71.2,61.6,0.8012,69,55
401601492,True,20231119,110.55000000000001,90.25,70.6,107.19999999999999,96.5,73.7,-5.5,145.5,77.4,71.2,0.7037,100,97
401581573,True,20231120,103.4,110.5,71.8,103.45,103.0,69.44999999999999,4.5,158.5,73.0,77.9,0.3382,68,82
401581539,True,20231120,109.25,104.95,70.05,102.25,105.1,69.45,-5.0,148.0,76.6,71.9,0.6771,69,74
401601481,True,20231120,102.0,100.1,69.65,99.15,101.15,69.85,-2.5,137.5,71.1,68.5,0.5957,67,74
401594395,True,20231120,95.2,109.4,68.25,96.1,109.0,70.55,2.5,138.5,70.6,71.4,0.4627,70,56
401582149,True,20231120,107.55000000000001,107.05,67.30000000000001,97.25,106.9,70.35,-6.5,144.0,75.4,68.7,0.7363,66,69
401598926,True,20231120,105.25,108.65,66.7,104.35,106.65,72.05,4.5,152.5,74.1,74.7,0.4662,85,67
401594431,True,20231120,106.2,99.80000000000001,68.7,105.6,105.95,70.30000000000001,-4.5,144.5,75.1,70.7,0.6476,83,81
401581537,True,20231120,105.69999999999999,98.45,71.45,107.5,98.2,70.5,2.5,143.5,72.9,74.3,0.4507,92,68
401580107,True,20231120,102.25,105.80000000000001,68.8,107.65,101.05,75.15,6.5,153.5,73.6,80.2,0.261,52,61
401601482,True,20231120,97.25,99.1,70.65,110.7,106.0,73.9,4.5,153.5,74.4,78.8,0.314,61,74
401575873,True,20231120,107.7,102.85,72.2,111.94999999999999,88.85,67.25,13.5,145.5,65.8,77.7,0.1612,56,73
401604306,True,20231120,100.55,109.1,67.0,98.69999999999999,107.0,66.4,-2.5,131.5,67.6,67.7,0.5011,75,71
401593912,True,20231120,101.95,106.05000000000001,66.94999999999999,100.75,105.75,74.9,0.0,142.5,75.0,74.3,0.5073,79,77
401582150,True,20231120,104.75,99.80000000000001,66.9,100.2,110.9,73.30000000000001,,,78.6,68.4,0.8071,52,71
401593992,True,20231120,97.45,107.85,68.6,95.65,105.30000000000001,68.0,-1.5,134.5,68.1,68.5,0.4894,61,62
401601490,True,20231120,105.9,105.15,69.7,108.25,97.15,69.55,7.0,145.5,69.5,76.2,0.2756,66,74
401575874,True,20231120,117.85,94.95,72.0,119.25,91.2,68.1,5.5,155.5,73.3,76.7,0.3931,63,73
401604305,True,20231120,99.9,103.6,70.55,100.85,106.25,68.44999999999999,-2.5,136.5,71.8,70.8,0.5405,59,66
401581574,True,20231120,108.15,105.55,72.45,102.05,102.55000000000001,70.80000000000001,1.5,155.5,77.7,75.6,0.591,85,91
401581540,True,20231120,100.75,104.6,72.55,101.6,101.65,73.85,-2.5,155.5,75.9,78.4,0.4093,69,80
401586906,True,20231120,109.25,101.4,67.25,107.6,99.8,72.45,3.5,149.5,73.6,73.5,0.4951,75,83
401582128,True,20231120,96.65,97.9,69.65,106.2,98.55000000000001,69.9,,,66.2,72.1,0.2842,79,72
401601483,True,20231120,106.4,105.6,69.55,102.8,98.65,67.05,,,68.8,70.9,0.4399,73,71
401583611,False,20231120,106.05000000000001,105.95,69.95,98.4,108.4,70.45,-12.5,145.5,81.2,70.9,0.8173,82,64
401575429,True,20231120,110.35,95.65,70.2,109.55,92.1,62.75,3.5,124.5,64.4,66.3,0.4563,41,65
401597953,False,20231120,105.35,107.0,66.19999999999999,98.69999999999999,103.6,69.30000000000001,-4.5,135.5,73.8,68.2,0.6955,51,64
401583852,False,20231120,102.15,108.0,66.94999999999999,99.69999999999999,105.5,68.4,-2.5,137.5,72.5,69.3,0.6117,55,48
401601491,True,20231120,112.05,94.25,69.9,116.2,90.35,69.0,5.5,143.5,69.0,74.2,0.3207,71,81
401577544,False,20231120,115.15,94.65,70.2,102.45,98.05,71.25,-16.5,149.5,82.8,67.3,0.9115,96,88
401604274,False,20231120,100.35,103.25,73.0,103.75,107.65,73.15,-3.5,157.5,82.1,77.2,0.6454,67,61
401603544,False,20231120,92.9,112.1,70.80000000000001,93.35,107.9,71.65,-1.5,142.5,74.9,74.7,0.4824,81,72
